YEAR,STATE,EVENT_TYPE,Injuries,Deaths,DAMAGE_PROPERTY,DAMAGE_CROPS
1950,ALABAMA,Tornado,15,0,27500.0,0.0
1950,ARKANSAS,Tornado,49,2,860030.0,0.0
1950,COLORADO,Tornado,1,0,50000.0,0.0
1950,CONNECTICUT,Tornado,3,0,252500.0,0.0
1950,FLORIDA,Tornado,0,0,82500.0,0.0
1950,GEORGIA,Tornado,1,0,32500.0,0.0
1950,ILLINOIS,Tornado,31,3,5877500.0,0.0
1950,INDIANA,Tornado,0,0,25000.0,0.0
1950,IOWA,Tornado,5,0,30.0,0.0
1950,KANSAS,Tornado,26,1,5092500.0,0.0
1950,KENTUCKY,Tornado,0,0,500000.0,0.0
1950,LOUISIANA,Tornado,144,29,4300000.0,0.0
1950,MARYLAND,Tornado,0,0,2500.0,0.0
1950,MINNESOTA,Tornado,4,0,2500.0,0.0
1950,MISSISSIPPI,Tornado,23,6,1375000.0,0.0
1950,MISSOURI,Tornado,8,0,2755500.0,0.0
1950,NEBRASKA,Tornado,135,0,2577500.0,0.0
1950,NEW MEXICO,Tornado,0,0,25250.0,0.0
1950,NORTH CAROLINA,Tornado,8,0,282500.0,0.0
1950,NORTH DAKOTA,Tornado,0,0,275000.0,0.0
1950,OHIO,Tornado,31,0,2525000.0,0.0
1950,OKLAHOMA,Tornado,45,6,1715750.0,0.0
1950,PENNSYLVANIA,Tornado,3,0,532500.0,0.0
1950,SOUTH CAROLINA,Tornado,0,0,25000.0,0.0
1950,SOUTH DAKOTA,Tornado,0,0,2500.0,0.0
1950,TENNESSEE,Tornado,9,9,30000.0,0.0
1950,TEXAS,Tornado,106,11,4430000.0,0.0
1950,WEST VIRGINIA,Tornado,0,0,0.0,0.0
1950,WISCONSIN,Tornado,12,3,825000.0,0.0
1950,WYOMING,Tornado,0,0,90.0,0.0
1951,ALABAMA,Tornado,13,0,35000.0,0.0
1951,ARKANSAS,Tornado,7,0,50000.0,0.0
1951,CALIFORNIA,Tornado,0,0,2500000.0,0.0
1951,COLORADO,Tornado,2,0,28310.0,0.0
1951,CONNECTICUT,Tornado,17,0,525000.0,0.0
1951,FLORIDA,Tornado,0,3,335250.0,0.0
1951,GEORGIA,Tornado,0,0,52500.0,0.0
1951,ILLINOIS,Tornado,58,2,5525000.0,0.0
1951,INDIANA,Tornado,6,0,5750000.0,0.0
1951,IOWA,Tornado,17,0,0.0,0.0
1951,KANSAS,Tornado,115,8,3702810.0,0.0
1951,KENTUCKY,Tornado,11,1,275000.0,0.0
1951,LOUISIANA,Tornado,14,0,700000.0,0.0
1951,MASSACHUSETTS,Tornado,0,0,2500.0,0.0
1951,MICHIGAN,Tornado,4,1,827500.0,0.0
1951,MINNESOTA,Tornado,60,6,30250000.0,0.0
1951,MISSISSIPPI,Tornado,17,3,110000.0,0.0
1951,MISSOURI,Tornado,2,0,305250.0,0.0
1951,NEBRASKA,Tornado,8,0,57500.0,0.0
1951,NEW HAMPSHIRE,Tornado,0,0,2500.0,0.0
1951,NEW JERSEY,Tornado,2,0,25000.0,0.0
1951,NEW MEXICO,Tornado,0,0,250030.0,0.0
1951,NORTH CAROLINA,Tornado,0,0,100000.0,0.0
1951,NORTH DAKOTA,Tornado,0,0,250.0,0.0
1951,OHIO,Tornado,5,0,7500000.0,0.0
1951,OKLAHOMA,Tornado,16,0,1301030.0,0.0
