year,month,average_temp,month_name
1964,1,2.7008998793727383,January
1964,2,-4.899754479097545,February
1964,3,-8.244109289617485,March
1964,4,-2.462983159582999,April
1964,5,2.3795499561238564,May
1964,6,-1.8228600672612953,June
1964,7,1.1521089666264577,July
1964,8,-3.5711741167284794,August
1964,9,-0.4679005315110099,September
1964,10,-0.18447977554360534,October
1964,11,-3.6583524050632916,November
1964,12,-1.1321867007672635,December
1965,1,3.1987703152535736,January
1965,2,-3.709647169811321,February
1965,3,-15.524821010371362,March
1965,4,2.082803499817718,April
1965,5,-2.392518147684606,May
1965,6,-6.8951929260450155,June
1965,7,-3.9340638528138525,July
1965,8,-4.650865614538499,August
1965,9,-10.023002768082803,September
1965,10,-0.0301838402178847,October
1965,11,7.029261306532663,November
1965,12,10.623028384725343,December
1966,1,-12.598396324549238,January
1966,2,-3.607520207852194,February
1966,3,-0.1410374281720764,March
1966,4,-3.9884573091849935,April
1966,5,-6.316541229953277,May
1966,6,-3.138094252507562,June
1966,7,2.9051058041112454,July
1966,8,-5.7720674941815355,August
1966,9,-1.7217127496159754,September
1966,10,-2.096756499682942,October
1966,11,3.4741884816753923,November
1966,12,7.3914170815779405,December
1967,1,12.626538320498716,January
1967,2,-7.107774209486166,February
1967,3,4.707379182156134,March
1967,4,0.5785071189279731,April
1967,5,-6.73232705033086,May
1967,6,-5.735354901014003,June
1967,7,-7.165182765593404,July
1967,8,-4.9513257519078255,August
1967,9,-7.127483394833948,September
1967,10,3.0894631007440174,October
1967,11,-2.370361010830325,November
1967,12,0.08913673597983615,December
1968,1,-5.839774001699236,January
1968,2,0.4653922200730711,February
1968,3,5.321266077793274,March
1968,4,-0.862722469410456,April
1968,5,-5.9174200492004925,May
1968,6,-0.7980736416704086,June
1968,7,-3.894763809523809,July
1968,8,-3.3500130863700424,August
1968,9,-4.465996892801657,September
1968,10,5.625308251070963,October
1968,11,-0.5465260900643317,November
1968,12,-15.307926069202665,December
1969,1,-3.596085127860027,January
1969,2,-5.3922257551669315,February
1969,3,-11.115108253296436,March
1969,4,3.6276908487434802,April
1969,5,5.200226392004895,May
1969,6,-2.966627054642381,June
1969,7,0.48715022699133304,July
1969,8,1.6050832289242887,August
1969,9,2.905750731911334,September
1969,10,-3.878324074074074,October
1969,11,-4.37260172331259,November
1969,12,5.378737145207733,December
1970,1,-10.738094390026713,January
1970,2,-3.6968978349120434,February
1970,3,-6.556956049918611,March
1970,4,2.57591003255401,April
1970,5,-0.9326539773747531,May
1970,6,1.8916203703703702,June
1970,7,-2.1881967512319767,July
1970,8,3.0522379182156136,August
1970,9,-1.2219763872491145,September
1970,10,-0.707227070347284,October
1970,11,-11.71548373644704,November
1970,12,9.60403446752099,December
1971,1,-4.483103492884864,January
1971,2,-8.463864749082008,February
1971,3,-5.81935790931118,March
1971,4,-6.403792314730101,April
1971,5,-8.077906659388647,May
1971,6,2.1177474259298172,June
1971,7,-5.326789187407286,July
1971,8,-0.09535555555555555,August
1971,9,-1.675673398421827,September
1971,10,-1.8156685253292206,October
1971,11,4.818836538461539,November
1971,12,9.824361493123773,December
1972,1,-8.142850624399616,January
1972,2,0.8532498639085466,February
1972,3,1.3576117054751415,March
1972,4,-3.670217117684078,April
1972,5,2.4787739953928845,May
1972,6,-6.242708147619896,June
1972,7,-6.052501575299306,July
1972,8,-0.37649778761061947,August
1972,9,-4.8441553527709775,September
1972,10,-9.306864116471596,October
1972,11,-5.795331656711726,November
1972,12,-13.049882395295812,December
1973,1,-1.9405112200921386,January
1973,2,-8.905392809587216,February
1973,3,9.287706004140787,March
1973,4,-7.345117870722434,April
1973,5,-2.9083144963144965,May
1973,6,1.2811624441132639,June
1973,7,-1.1910527842227379,July
1973,8,1.035411681914145,August
1973,9,2.587293551491819,September
1973,10,7.38323141654979,October
1973,11,5.6609639149777555,November
1973,12,1.7331984107275888,December
1974,1,-1.444430474061656,January
1974,2,-0.6886136485760344,February
